"Nº ONU (1)","Nome e Descrição (2)","Classe ou Subclasse de Risco (3)","Risco Subsi- diário (4)","Nº de Risco (5)","Grupo de Emb. (6)","Provisões Especiais (7)","Quant. Limitada por","","Embalagens e IBCs","","Tanques Portáteis e Contentores para Granéis",""
"1433","FOSFETOS ESTÂNICOS  (Alteradao ela Resolução ANTT nº 5.581, de 22 de novembro de 2017)","4.3","6.1","X462","I","","20","ZERO","P403","","",""
"1435","ZINCO, CINZAS","4.3","","423","III","223","1000","1 kg","P002
IBC08","B4","T1","TP33"
"1436","ZINCO EM PÓ","4.3","4.2","X423","I","","20","ZERO","P403","","",""
"","","4.3","4.2","423","II","","333","ZERO","P410
IBC07","B2","T3","TP33"
"","","4.3","4.2","423","III","223","1000","ZERO","P410
IBC08","B4","T1","TP33"
"1437","HIDRETO DE ZIRCÔNIO","4.1","","40","II","","333","1 kg","P410
IBC04","PP40","T3","TP33"
"1438","NITRATO DE ALUMÍNIO","5.1","","50","III","","1000","5 kg","P002 IBC08
LP02","B3","T1 BK1
BK2","TP33"
"1439","DICROMATO DE AMÔNIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1442","PERCLORATO DE AMÔNIO","5.1","","50","II","152","333","1 kg","P002
IBC06","B2","T3","TP33"
"1444","PERSULFATO DE AMÔNIO","5.1","","50","III","","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1445","CLORATO DE BÁRIO, SÓLIDO","5.1","6.1","56","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1446","NITRATO DE BÁRIO","5.1","6.1","56","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1447","PERCLORATO DE BÁRIO, SÓLIDO","5.1","6.1","56","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1448","PERMANGANATO DE BÁRIO","5.1","6.1","56","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1449","PERÓXIDO DE BÁRIO","5.1","6.1","56","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1450","BROMATOS, INORGÂNICOS, N.E.","5.1","","50","II","274","333","1 kg","P002","","T3","TP33"
"","","","","","","350","","","IBC08","B2, B4","",""
"1451","NITRATO DE CÉSIO","5.1","","50","III","","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1452","CLORATO DE CÁLCIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1453","CLORITO DE CÁLCIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1454","NITRATO DE CÁLCIO","5.1","","50","III","208","1000","5 kg","P002 IBC08 LP02","B3","T1
BK1 BK2","TP33"
"","","","","","","","","","","","BK3",""
"1455","PERCLORATO DE CÁLCIO","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1456","PERMANGANATO DE CÁLCIO","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1457","PERÓXIDO DE CÁLCIO","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1458","MISTURA DE CLORATO E BORATO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"","","5.1","","50","III","223","1000","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"1459","MISTURA DE CLORETO E CLORATO DE MAGNÉSIO, SÓLIDA","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"","","5.1","","50","III","223","1000","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"1461","CLORATOS, INORGÂNICOS, N.E.","5.1","","50","II","274","333","1 kg","P002
IBC06","B2","T3","TP33"
"","","","","","","351","","","","","",""
"1462","CLORITOS, INORGÂNICOS, N.E.","5.1","","50","II","274","333","1 kg","P002
IBC06","B2","T3","TP33"
"","","","","","","352","","","","","",""
"1463","TRIÓXIDO DE CROMO, ANIDRO","5.1","6.1
8","568","II","","333","1 kg","P002
IBC08","B2,B4","T3","TP33"
"1465","NITRATO DE DIDÍMIO","5.1","","50","III","","1000","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"1466","NITRATO FÉRRICO","5.1","","50","III","","1000","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"1467","NITRATO DE GUANIDINA","5.1","","50","III","","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1469","NITRATO DE CHUMBO","5.1","6.1","56","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1470","PERCLORATO DE CHUMBO, SÓLIDO","5.1","6.1","56","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1471","HIPOCLORITO DE LÍTIO, SECO, ou MISTURA DE HIPOCLORITO DE LÍTIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","",""
"","","5.1","","50","III","223","333","5kg","P002","","T1","TP33"
"","","","","","","","","","IBC08","B3","",""
"","","","","","","","","","LP02","","",""
"1472","PERÓXIDO DE LÍTIO","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1473","BROMATO DE MAGNÉSIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1474","NITRATO DE MAGNÉSIO","5.1","","50","III","332","1000","5 kg","P002 IBC08 LP02","B3","T1
BK1 BK2","TP33"
"","","","","","","","","","","","BK3",""
"1475","PERCLORATO DE MAGNÉSIO","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1476","PERÓXIDO DE MAGNÉSIO","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1477","NITRATOS, INORGÂNICOS, N.E.","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"","","5.1","","50","III","223","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1479","SÓLIDO OXIDANTE, N.E.","5.1","","55","I","274","20","ZERO","P503
IBC05","B1","",""
"","","5.1","","50","II","274","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"","","5.1","","50","III","223
274","1000","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"1481","PERCLORATOS, INORGÂNICOS, N.E.","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"","","5.1","","50","III","223","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1482","PERMANGANATOS, INORGÂNICOS, N.E","5.1","","50","II","206","333","1 kg","P002 IBC06","","T3","TP33"
"","","","","","","274","","","","B2","",""
"","","","","","","353","","","","","",""
"","","5.1","","50","III","206
223
274","1000","5 kg","P002 IBC08 LP02","B3","T1","TP33"
"","","","","","","353","","","","","",""
"1483","PERÓXIDOS, INORGÂNICOS, N.E.","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"","","5.1","","50","III","223","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1484","BROMATO DE POTÁSSIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1485","CLORATO DE POTÁSSIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1486","NITRATO DE POTÁSSIO","5.1","","50","III","","1000","5 kg","P002 IBC08
LP02","B3","T1 BK1
BK2","TP33"
"","","","","","","","","","","","BK3",""
"1487","MISTURA DE NITRATO DE POTÁSSIO E NITRITO DE SÓDIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1488","NITRITO DE POTÁSSIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1489","PERCLORATO DE POTÁSSIO","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1490","PERMANGANATO DE POTÁSSIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1491","PERÓXIDO DE POTÁSSIO","5.1","","55","I","","20","ZERO","P503
IBC06","B1","",""
"1492","PERSULFATO DE POTÁSSIO","5.1","","50","III","","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1493","NITRATO DE PRATA","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1494","BROMATO DE SÓDIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1495","CLORATO DE SÓDIO","5.1","","50","II","","333","1 kg","P002 IBC08","B4","T3 BK1
BK2","TP33"
"1496","CLORITO DE SÓDIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1498","NITRATO DE SÓDIO","5.1","","50","III","","1000","5 kg","P002 IBC08 LP02","B3","T1 BK1
BK2","TP33"
"","","","","","","","","","","","BK3",""
"1499","MISTURA DE NITRATO DE SÓDIO E NITRATO DE POTÁSSIO","5.1","","50","III","","1000","5 kg","P002 IBC08 LP02","B3","T1 BK1
BK2","TP33"
"","","","","","","","","","","","BK3",""
"1500","NITRITO DE SÓDIO","5.1","6.1","56","III","","1000","5 kg","P002
IBC08","B3","T1","TP33"
"1502","PERCLORATO DE SÓDIO","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1503","PERMANGANATO DE SÓDIO","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1504","PERÓXIDO DE SÓDIO","5.1","","55","I","","20","ZERO","P503
IBC05","B1","",""
"1505","PERSULFATO DE SÓDIO","5.1","","50","III","","1000","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"1506","CLORATO DE ESTRÔNCIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1507","NITRATO DE ESTRÔNCIO","5.1","","50","III","","1000","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1508","PERCLORATO DE ESTRÔNCIO","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1509","PERÓXIDO DE ESTRÔNCIO","5.1","","50","II","","333","1 kg","P002","","T3","TP33"
"","","","","","","","","","IBC06","B2","",""
"1510","TETRANITROMETANO","6.1","5.1","665","I","354","20","ZERO","P602","","",""
"1511","URÉIA-PEROXIDO DE HIDROGÊNIO ou HIDROPERÓXIDO DE URÉIA","5.1","8","58","III","","1000","5 kg","P002
IBC08","B3","T1","TP33"
"1512","NITRITO DE ZINCO E AMÔNIO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1513","CLORATO DE ZINCO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1514","NITRATO DE ZINCO","5.1","","50","II","","333","1 kg","P002
IBC08","B2, B4","T3","TP33"
"1515","PERMANGANATO DE ZINCO","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1516","PERÓXIDO DE ZINCO","5.1","","50","II","","333","1 kg","P002
IBC06","B2","T3","TP33"
"1517","PICRAMATO DE ZIRCÔNIO UMEDECIDO com no mínimo 20 % de água, em massa","4.1","","40","I","28","20","ZERO","P406","PP26","",""
"1541","ACETONA-CIANIDRINA ESTABILIZADA","6.1","","669","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"1544","ALCALÓIDES, SÓLIDOS, N.E ou SAIS DE ALCALÓIDES, SÓLIDOS N.E.","6.1","","66","I","43
274","20","ZERO","P002
IBC07","B1","T6","TP33"
"","","6.1","","60","II","43
274","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"","","6.1","","60","III","43
223
274","333","5 kg","P002       IBC08
LP02","B3","T1","TP33"
"1545","ISOTIOCIANATO DE ALILA, ESTABILIZADO","6.1","3","639","II","386","333","100 ml","P001
IBC02","","T7","TP2"
"1546","ARSENIATO DE AMÔNIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1547","ANILINA","6.1","","60","II","279","333","100 ml","P001
IBC02","","T7","TP2"
"1548","CLORIDRATO DE ANILINA","6.1","","60","III","","333","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"1549","ANTIMÔNIO COMPOSTO, INORGÂNICO, SÓLIDO, N.E.","6.1","","60","III","45","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"","","","","","","274","","","","","",""
"1550","LACTATO DE ANTIMÔNIO","6.1","","60","III","","333","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"1551","TARTARATO DE ANTIMÔNIO E POTÁSSIO","6.1","","60","III","","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1553","ÁCIDO ARSÊNICO, LÍQUIDO","6.1","","66","I","","20","ZERO","P001","","T20","TP2 TP7"
"1554","ÁCIDO ARSÊNICO, SÓLIDO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1555","BROMETO DE ARSÊNIO","6.1","","60","II","","333","500 g","P002","","T3","TP33"
"","","","","","","","","","IBC08","B2, B4","",""
"1556","ARSÊNIO COMPOSTO, LÍQUIDO, N.E., inorgânico, incluindo: Arseniatos, n.e., Arsenitos, n.e., e Sulfetos de arsênio, n.e.","6.1","","66","I","43","20","ZERO","P001","","T14","TP2 TP27"
"","","","","","","274","","","","","",""
"","","6.1","","60","II","43","333","100 ml","P001 IBC02","","T11","TP2
TP27"
"","","","","","","274","","","","","",""
"","","6.1","","60","III","43
223
274","333","5 L","P001 IBC03
LP01","","T7","TP2 TP28"
"1557","ARSÊNIO COMPOSTO, SÓLIDO, N.E., inorgânico, incluindo: Arseniatos, n.e., Arsenitos, n.e., e Sulfetos de arsênio, n.e.","6.1","","66","I","43","20","ZERO","P002
IBC07","B1","T6","TP33"
"","","","","","","274","","","","","",""
"","","6.1","","60","II","43","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"","","","","","","274","","","","","",""
"","","6.1","","60","III","43
223
274","333","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"1558","ARSÊNIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1559","PENTÓXIDO DE ARSÊNIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1560","TRICLORETO DE ARSÊNIO","6.1","","66","I","","20","ZERO","P602","","T14","TP2"
"1561","TRIÓXIDO DE ARSÊNIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1562","PÓ DE COMPOSTOS DE ARSÊNIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1564","BÁRIO COMPOSTO, N.E.","6.1","","60","II","177","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"","","","","","","274","","","","","",""
"","","6.1","","60","III","177
223
274","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1565","CIANETO DE BÁRIO","6.1","","66","I","","20","ZERO","P002
IBC07","B1","T6","TP33"
"1566","BERÍLIO COMPOSTO, N.E.","6.1","","60","II","274","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"","","6.1","","60","III","223","333","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"","","","","","","274","","","","","",""
"1567","BERÍLIO EM PÓ","6.1","4.1","64","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1569","BROMOACETONA","6.1","3","63","II","","333","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","",""
"1570","BRUCINA","6.1","","66","I","43","20","ZERO","P002
IBC07","B1","T6","TP33"
"1571","AZIDA DE BÁRIO, UMEDECIDA com no mínimo 50% de água, em massa","4.1","6.1","46","I","28","20","ZERO","P406","","",""
"1572","ÁCIDO CACODÍLICO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1573","ARSENIATO DE CÁLCIO","6.1","","60","II","","333","500 g","P002","","T3","TP33"
"","","","","","","","","","IBC08","B2, B4","",""
"1574","MISTURA DE ARSENIATO DE CÁLCIO E ARSENITO DE CÁLCIO, SÓLIDA","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1575","CIANETO DE CÁLCIO","6.1","","66","I","","20","ZERO","P002
IBC07","B1","T6","TP33"
"1577","CLORODINITROBENZENOS, LÍQUIDOS","6.1","","60","II","279","333","100 ml","P001
IBC02","","T7","TP2"
"1578","CLORONITROBENZENOS, SÓLIDOS","6.1","","60","II","279","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1579","CLORIDRATO DE 4-CLORO-o- TOLUIDINA, SÓLIDO","6.1","","60","III","","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1580","CLOROPICRINA","6.1","","66","I","","20","ZERO","P601","","T22","TP2"
"","","","","","","354","","","","","",""
"","","","","","","","","","","","","TP37"
"1581","MISTURA DE CLOROPICRINA E BROMETO DE METILA com mais de 2% cloropicrina","2.3","","26","","","20","ZERO","P200","","T50",""
"1582","MISTURA DE CLOROPICRINA E CLORETO DE METILA","2.3","","26","","","20","ZERO","P200","","T50",""
"1583","MISTURA DE CLOROPICRINA, N.E.","6.1","","66","I","274","20","ZERO","P602","","",""
"","","","","","","315","","","","","",""
"","","6.1","","60","II","274","333","100 ml","P001","","",""
"","","","","","","","","","IBC02","","",""
"","","6.1","","60","III","223","333","5 L","P001
IBC03","","",""
"","","","","","","274","","","","","",""
"","","","","","","","","","LP01","","",""
"1585","ACETOARSENITO DE COBRE","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1586","ARSENITO DE COBRE","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1587","CIANETO DE COBRE","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1588","CIANETOS, INORGÂNICOS, SÓLIDOS, N.E.","6.1","","66","I","47
274","20","ZERO","P002
IBC07","B1","T6","TP33"
"","","6.1","","60","II","47
274","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"","","6.1","","60","III","47
223
274","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1589","CLORETO DE CIANOGÊNIO, ESTABILIZADO","2.3","8","268","","386","20","ZERO","P200","","",""
"1590","DICLOROANILINAS, LÍQUIDAS","6.1","","60","II","279","333","100 ml","P001
IBC02","","T7","TP2"
"1591","o-DICLOROBENZENO","6.1","","60","III","279","333","5 L","P001 IBC03
LP01","","T4","TP1"
"1593","DICLOROMETANO","6.1","","60","III","","333","5 L","P001 IBC03
LP01","B8","T7","TP2"
"1594","SULFATO DE DIETILA","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"1595","SULFATO DE DIMETILA","6.1","8","668","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP35"
"1596","DINITROANILINAS","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1597","DINITROBENZENOS, LÍQUIDOS","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"","","6.1","","60","III","","333","5 L","P001 IBC03
LP01","","T7","TP2"
"","","","","","","223","","","","","",""
"1598","DINITRO-o-CRESOL","6.1","","60","II","43","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1599","DINITROFENOL SOLUÇÃO","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"","","6.1","","60","III","223","333","5 L","P001
IBC03 LP01","","T4","TP1"
"1600","DINITROTOLUENOS, FUNDIDOS","6.1","","60","II","","ZERO","ZERO","N/A","","T7","TP3"
"1601","DESINFETANTE, TÓXICO, SÓLIDO, N.E.","6.1","","66","I","274","20","ZERO","P002
IBC07","B1","T6","T33"
"","","6.1","","60","II","274","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"","","6.1","","60","III","274","333","5 kg","P002
IBC08 LP02","B3","T1","TP33"
"1602","CORANTE, TÓXICO, LÍQUIDO, N.E. ou INTERMEDIÁRIO PARA CORANTES, TÓXICO, LÍQUIDO, N.E.","6.1","","66","I","274","20","ZERO","P001","","",""
"","","6.1","","60","II","274","333","100 ml","P001
IBC02","","",""
"","","6.1","","60","III","223
274","333","5 L","P001 IBC03
LP01","","",""
"1603","ACETATO DE BROMOETILA","6.1","3","63","II","","333","100 ml","P001
IBC02","","T7","TP2"
"1604","ETILENODIAMINA","8","3","83","II","","333","1 L","P001
IBC02","","T7","TP2"
"1605","DIBROMETO DE ETILENO","6.1","","66","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"1606","ARSENIATO FÉRRICO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1607","ARSENITO FÉRRICO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1608","ARSENIATO FERROSO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1611","TETRAFOSFATO DE HEXAETILA","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"1612","MISTURA DE TETRAFOSFATO DE HEXAETILA E GÁS COMPRIMIDO","2.3","","26","","","20","ZERO","P200","","",""
"1613","ÁCIDO  CIANÍDRICO,  SOLUÇÃO  AQUOSA,  (CIANETO  DE  HIDROGÊNIO,  SOLUÇÃO  AQUOSA)  com  até  20%  de
cianeto de hidrogênio","6.1","","663","I","48","ZERO","ZERO","P601","","T14","TP2"
"","","","","","","","","","","","",""
"1614","CIANETO DE HIDROGÊNIO, ESTABILIZADO, contendo menos de 3% de água e absorvido em material inerte e poroso.","6.1","3","663","I","386","ZERO","ZERO","P099","","",""
"1616","ACETATO DE CHUMBO","6.1","","60","III","","333","5 kg","P002","","T1","TP33"
"","","","","","","","","","IBC08
LP02","B3","",""
"1617","ARSENIATO(S) DE CHUMBO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1618","ARSENITO(S) DE CHUMBO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1620","CIANETO DE CHUMBO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1621","PÚRPURA DE LONDRES","6.1","","60","II","43","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1622","ARSENIATO DE MAGNÉSIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1623","ARSENIATO MERCÚRICO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1624","CLORETO MERCÚRICO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1625","NITRATO MERCÚRICO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1626","CIANETO DUPLO DE MERCÚRIO E POTÁSIO","6.1","","66","I","","20","ZERO","P002
IBC07","B1","T6","TP33"
"1627","NITRATO MERCUROSO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1629","ACETATO DE MERCÚRIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1630","CLORETO DUPLO DE MERCÚRIO E AMÔNIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1631","BENZOATO DE MERCÚRIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1634","BROMETO(S) DE MERCÚRIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1636","CIANETO DE MERCÚRIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1637","GLUCONATO DE MERCÚRIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1638","IODETO DE MERCÚRIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1639","NUCLEATO DE MERCÚRIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1640","OLEATO DE MERCÚRIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1641","ÓXIDO DE MERCÚRIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1642","OXICIANETO DE MERCÚRIO, INSENSIBILIZADO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1643","IODETO DE MERCÚRIO E POTÁSSIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1644","SALICILATO DE MERCÚRIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1645","SULFATO DE MERCÚRIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1646","TIOCIANATO DE MERCÚRIO","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1647","MISTURA DE BROMETO DE METILA E DIBROMETO DE ETILENO, LÍQUIDA","6.1","","66","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","",""
"1648","ACETONITRILA","3","","33","II","","333","1 L","P001
IBC02","","T7","TP2"
"1649","MISTURA ANTIDETONANTE PARA COMBUSTÍVEL PARA MOTOR","6.1","","66","I","","20","ZERO","P602","","T14","TP2"
"1650","beta-NAFTILAMINA, SÓLIDA","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1651","NAFTILTIOURÉIA","6.1","","60","II","43","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1652","NAFTILURÉIA","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1653","CIANETO DE NÍQUEL","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1654","NICOTINA","6.1","","60","II","","333","100 ml","P001
IBC02","","",""
"1655","NICOTINA COMPOSTO, SÓLIDO, N.E. ou NICOTINA PREPARAÇÃO, SÓLIDA, N.E.","6.1","","66","I","43","20","ZERO","P002
IBC07","B1","T6","TP33"
"","","","","","","274","","","","","",""
"","","6.1","","60","II","43","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"","","","","","","274","","","","","",""
"","","6.1","","60","III","43
223","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"","","","","","","274","","","","","",""
"1656","CLORIDRATO DE NICOTINA, LÍQUIDO OU SOLUÇÃO","6.1","","60","II","43","333","100 ml","P001
IBC02","","",""
"","","6.1","","60","III","43
223","333","5 L","P001 IBC03
LP01","","",""
"1657","SALICILATO DE NICOTINA","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1658","SULFATO DE NICOTINA, SOLUÇÃO","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"","","6.1","","60","III","223","333","5 L","P001
IBC03 LP01","","T7","TP2"
"1659","TARTARATO DE NICOTINA","6.1","","60","II","","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1660","ÓXIDO NÍTRICO, COMPRIMIDO","2.3","5.1
8","265","","","20","ZERO","P200","","",""
"1661","NITROANILINAS (o-,m-,p-)","6.1","","60","II","279","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1662","NITROBENZENO","6.1","","60","II","279","333","100 ml","P001
IBC02","","T7","TP2"
"1663","NITROFENÓIS (o-,m-,p-)","6.1","","60","III","279","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1664","NITROTOLUENOS, LÍQUIDOS","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"1665","NITROXILENOS, LÍQUIDOS","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"1669","PENTACLOROETANO","6.1","","60","II","","333","100 ml","P001
IBC02","","T7","TP2"
"1670","PERCLOROMETILMERCAPTANA","6.1","","66","I","354","20","ZERO","P602","","T20","TP2"
"","","","","","","","","","","","","TP37"
"1671","FENOL, SÓLIDO","6.1","","60","II","279","333","500 g","P002
IBC08","B2, B4","T3","TP33"
"1672","CLORETO DE FENILCARBILAMINA","6.1","","66","I","","20","ZERO","P602","","T14","TP2"
"1673","FENILENODIAMINAS (o-,m-,p-)","6.1","","60","III","279","333","5 kg","P002 IBC08
LP02","B3","T1","TP33"
"1674","ACETATO DE FENILMERCÚRICO","6.1","","60","II","43","333","500 g","P002
IBC08","B2, B4","T3","TP33"
